Year,Month,MonthEndDate
2000,1,2000-01-31
2000,2,2000-02-29
2000,3,2000-03-31
2000,4,2000-04-28
2000,5,2000-05-31
2000,6,2000-06-30
2000,7,2000-07-31
2000,8,2000-08-31
2000,9,2000-09-29
2000,10,2000-10-31
2000,11,2000-11-30
2000,12,2000-12-29
2001,1,2001-01-31
2001,2,2001-02-28
2001,3,2001-03-30
2001,4,2001-04-30
2001,5,2001-05-31
2001,6,2001-06-29
2001,7,2001-07-31
2001,8,2001-08-31
2001,9,2001-09-28
2001,10,2001-10-31
2001,11,2001-11-30
2001,12,2001-12-31
2002,1,2002-01-31
2002,2,2002-02-28
2002,3,2002-03-28
2002,4,2002-04-30
2002,5,2002-05-31
2002,6,2002-06-28
2002,7,2002-07-31
2002,8,2002-08-30
2002,9,2002-09-30
2002,10,2002-10-31
2002,11,2002-11-29
2002,12,2002-12-31
2003,1,2003-01-31
2003,2,2003-02-28
2003,3,2003-03-31
2003,4,2003-04-30
2003,5,2003-05-30
2003,6,2003-06-30
2003,7,2003-07-31
2003,8,2003-08-29
2003,9,2003-09-30
2003,10,2003-10-31
2003,11,2003-11-28
2003,12,2003-12-31
2004,1,2004-01-30
2004,2,2004-02-27
2004,3,2004-03-31
2004,4,2004-04-30
2004,5,2004-05-28
2004,6,2004-06-30
2004,7,2004-07-30
2004,8,2004-08-31
2004,9,2004-09-30
2004,10,2004-10-29
2004,11,2004-11-30
2004,12,2004-12-31
2005,1,2005-01-31
2005,2,2005-02-28
2005,3,2005-03-31
2005,4,2005-04-29
2005,5,2005-05-31
2005,6,2005-06-30
2005,7,2005-07-29
2005,8,2005-08-31
2005,9,2005-09-30
2005,10,2005-10-31
2005,11,2005-11-30
2005,12,2005-12-30
2006,1,2006-01-31
2006,2,2006-02-28
2006,3,2006-03-31
2006,4,2006-04-28
2006,5,2006-05-31
2006,6,2006-06-30
2006,7,2006-07-31
2006,8,2006-08-31
2006,9,2006-09-29
2006,10,2006-10-31
2006,11,2006-11-30
2006,12,2006-12-29
2007,1,2007-01-31
2007,2,2007-02-28
2007,3,2007-03-30
2007,4,2007-04-30
2007,5,2007-05-31
2007,6,2007-06-29
2007,7,2007-07-31
2007,8,2007-08-31
2007,9,2007-09-28
2007,10,2007-10-31
2007,11,2007-11-30
2007,12,2007-12-31
2008,1,2008-01-31
2008,2,2008-02-29
2008,3,2008-03-31
2008,4,2008-04-30
2008,5,2008-05-30
2008,6,2008-06-30
2008,7,2008-07-31
2008,8,2008-08-29
2008,9,2008-09-30
2008,10,2008-10-31
2008,11,2008-11-28
2008,12,2008-12-31
2009,1,2009-01-30
2009,2,2009-02-27
2009,3,2009-03-31
2009,4,2009-04-30
2009,5,2009-05-29
2009,6,2009-06-30
2009,7,2009-07-31
2009,8,2009-08-31
2009,9,2009-09-30
2009,10,2009-10-30
2009,11,2009-11-30
2009,12,2009-12-31
2010,1,2010-01-29
2010,2,2010-02-26
2010,3,2010-03-31
2010,4,2010-04-30
2010,5,2010-05-28
2010,6,2010-06-30
2010,7,2010-07-30
2010,8,2010-08-31
2010,9,2010-09-30
2010,10,2010-10-29
2010,11,2010-11-30
2010,12,2010-12-31
2011,1,2011-01-31
2011,2,2011-02-28
2011,3,2011-03-31
2011,4,2011-04-29
2011,5,2011-05-31
2011,6,2011-06-30
2011,7,2011-07-29
2011,8,2011-08-31
2011,9,2011-09-30
2011,10,2011-10-31
2011,11,2011-11-30
2011,12,2011-12-30
2012,1,2012-01-31
2012,2,2012-02-29
2012,3,2012-03-30
2012,4,2012-04-30
2012,5,2012-05-31
2012,6,2012-06-29
2012,7,2012-07-31
2012,8,2012-08-31
2012,9,2012-09-28
2012,10,2012-10-31
2012,11,2012-11-30
2012,12,2012-12-31
2013,1,2013-01-31
2013,2,2013-02-28
2013,3,2013-03-28
2013,4,2013-04-30
2013,5,2013-05-31
2013,6,2013-06-28
2013,7,2013-07-31
2013,8,2013-08-30
2013,9,2013-09-30
2013,10,2013-10-31
2013,11,2013-11-29
2013,12,2013-12-31
2014,1,2014-01-31
2014,2,2014-02-28
2014,3,2014-03-31
2014,4,2014-04-30
2014,5,2014-05-30
2014,6,2014-06-30
2014,7,2014-07-31
2014,8,2014-08-29
2014,9,2014-09-30
2014,10,2014-10-31
2014,11,2014-11-28
2014,12,2014-12-31
2015,1,2015-01-30
2015,2,2015-02-27
2015,3,2015-03-31
2015,4,2015-04-30
2015,5,2015-05-29
2015,6,2015-06-30
2015,7,2015-07-31
2015,8,2015-08-31
2015,9,2015-09-30
2015,10,2015-10-30
2015,11,2015-11-30
2015,12,2015-12-31
2016,1,2016-01-29
2016,2,2016-02-29
2016,3,2016-03-31
2016,4,2016-04-29
2016,5,2016-05-31
2016,6,2016-06-30
2016,7,2016-07-29
2016,8,2016-08-31
2016,9,2016-09-30
2016,10,2016-10-31
2016,11,2016-11-30
2016,12,2016-12-30
