Date,Close,granularity
2006-06-30,39.8,monthend
2006-07-31,39.0,monthend
2006-08-31,39.0,monthend
2006-09-29,39.45,monthend
2006-10-31,42.2,monthend
2006-11-30,52.5,monthend
2006-12-29,51.2,monthend
2007-01-31,54.6,monthend
2007-02-27,59.9,monthend
2007-03-30,62.0,monthend
2007-04-30,64.0,monthend
2007-05-31,69.0,monthend
2007-06-29,69.8,monthend
2007-07-31,62.7,monthend
2007-08-31,58.3,monthend
2007-09-28,73.5,monthend
2007-10-31,68.3,monthend
2007-11-30,59.0,monthend
2007-12-31,58.3,monthend
2008-01-31,50.1,monthend
2008-02-29,51.8,monthend
2008-03-31,51.0,monthend
2008-04-30,52.7,monthend
2008-05-30,51.0,monthend
2008-06-30,44.75,monthend
2008-07-31,39.85,monthend
2008-08-29,43.75,monthend
2008-09-30,36.5,monthend
2008-10-31,33.9,monthend
2008-11-28,27.5,monthend
2008-12-31,28.0,monthend
2009-01-21,26.0,monthend
2009-02-27,30.15,monthend
2009-03-31,35.7,monthend
2009-04-30,41.5,monthend
2009-05-27,42.25,monthend
2009-06-30,38.05,monthend
2009-07-31,44.1,monthend
2009-08-31,41.2,monthend
2009-09-30,45.4,monthend
2009-10-30,44.2,monthend
2009-11-30,42.4,monthend
2009-12-31,43.35,monthend
2010-01-04,43.35,daily
2010-01-05,43.5,daily
2010-01-06,44.0,daily
2010-01-07,46.65,daily
2010-01-08,46.45,daily
2010-01-11,46.0,daily
2010-01-12,45.1,daily
2010-01-13,45.0,daily
2010-01-14,45.7,daily
2010-01-15,45.4,daily
2010-01-18,44.45,daily
2010-01-19,44.85,daily
2010-01-20,44.85,daily
2010-01-21,44.1,daily
2010-01-22,42.4,daily
2010-01-25,42.15,daily
2010-01-26,41.65,daily
2010-01-27,42.1,daily
2010-01-28,43.4,daily
2010-01-29,42.4,daily
2010-02-01,40.5,daily
2010-02-02,40.0,daily
2010-02-03,41.7,daily
2010-02-04,40.3,daily
2010-02-05,37.6,daily
2010-02-06,38.2,daily
2010-02-08,39.1,daily
2010-02-09,39.3,daily
2010-02-10,40.6,daily
2010-02-22,39.8,daily
2010-02-23,39.2,daily
2010-02-24,38.8,daily
2010-02-25,38.1,daily
2010-02-26,37.25,daily
2010-03-01,38.0,daily
2010-03-02,37.95,daily
2010-03-03,37.55,daily
2010-03-04,38.1,daily
2010-03-05,38.15,daily
2010-03-08,39.15,daily
2010-03-09,38.95,daily
2010-03-10,38.6,daily
2010-03-11,38.5,daily
2010-03-12,38.1,daily
2010-03-15,37.5,daily
2010-03-16,37.5,daily
2010-03-17,38.6,daily
2010-03-18,39.5,daily
2010-03-19,39.2,daily
2010-03-22,38.6,daily
2010-03-23,38.35,daily
2010-03-24,38.65,daily
2010-03-25,38.3,daily
2010-03-26,38.3,daily
2010-03-29,38.3,daily
2010-03-30,38.3,daily
2010-03-31,38.3,daily
2010-04-01,39.15,daily
2010-04-02,39.2,daily
2010-04-06,39.9,daily
2010-04-07,39.85,daily
2010-04-08,39.15,daily
2010-04-09,39.7,daily
2010-04-12,40.25,daily
2010-04-13,39.6,daily
2010-04-14,40.8,daily
2010-04-15,41.8,daily
2010-04-16,41.4,daily
2010-04-19,40.15,daily
2010-04-20,40.3,daily
2010-04-21,41.3,daily
2010-04-22,41.2,daily
2010-04-23,41.2,daily
2010-04-26,41.95,daily
2010-04-27,40.85,daily
2010-04-28,40.0,daily
2010-04-29,39.25,daily
2010-04-30,38.8,daily
2010-05-03,38.25,daily
2010-05-04,37.8,daily
2010-05-05,36.0,daily
2010-05-06,36.45,daily
2010-05-07,37.2,daily
2010-05-10,37.4,daily
2010-05-11,37.4,daily
2010-05-12,36.85,daily
2010-05-13,38.0,daily
2010-05-14,38.1,daily
2010-05-17,36.85,daily
2010-05-18,36.3,daily
2010-05-19,36.8,daily
2010-05-20,35.75,daily
2010-05-21,35.45,daily
2010-05-24,35.2,daily
2010-05-25,33.8,daily
2010-05-26,34.55,daily
2010-05-27,34.3,daily
2010-05-28,34.35,daily
2010-05-31,35.6,daily
2010-06-01,34.85,daily
2010-06-02,34.2,daily
2010-06-03,35.45,daily
2010-06-04,35.15,daily
