code,name,ex_date,prev_close,ref_price,total_value,kind,factor
2311,日月光,2007-08-20,34.5,28.58,5.929322,權息,0.828406
2311,日月光,2008-08-13,26.75,24.24,2.515827,權息,0.906168
2311,日月光,2009-07-27,21.2,20.7,0.499891,息,0.976415
2311,日月光,2010-07-27,27.6,24.76,2.833904,權息,0.897101
2311,日月光,2011-08-12,30.35,26.63,3.710266,權息,0.87743
2311,日月光,2012-08-20,25.9,22.15,3.748105,權息,0.855212
2311,日月光,2013-07-30,25.05,24.0,1.049450,息,0.958084
2311,日月光,2014-08-13,36.4,35.1,1.294118,息,0.964286
2311,日月光,2015-08-10,35.0,32.99,2.003799,息,0.942571
2311,日月光,2016-08-15,39.0,37.4,1.597185,息,0.958974
2311,日月光,2017-02-09,38.1,37.95,0.142784,權,0.996063
2311,日月光,2017-08-09,39.7,38.32,1.377653,息,0.965239
2325,矽品,2006-08-01,39.0,33.82,5.183792,權息,0.867179
2325,矽品,2007-07-27,69.4,64.13,5.273881,權息,0.924063
2325,矽品,2008-07-24,48.8,43.35,5.450000,權息,0.88832
2325,矽品,2009-07-13,41.5,39.7,1.800000,息,0.956627
2325,矽品,2010-07-12,37.8,35.22,2.580000,息,0.931746
2325,矽品,2011-07-18,31.85,30.23,1.620000,息,0.949137
2325,矽品,2012-07-16,29.75,28.33,1.420000,息,0.952269
2325,矽品,2013-07-15,37.6,35.95,1.649613,息,0.956117
2325,矽品,2014-07-16,49.85,48.05,1.800000,息,0.963892
2325,矽品,2015-07-23,41.55,38.55,3.000000,息,0.927798
2325,矽品,2016-06-23,51.7,47.9,3.800000,息,0.926499
2325,矽品,2017-08-02,50.0,48.25,1.750000,息,0.965
3009,奇美電,2006-08-01,37.3,35.08,2.220000,權息,0.940483
3009,奇美電,2007-07-05,38.9,37.14,1.760000,權息,0.954756
3009,奇美電,2008-07-14,31.2,27.83,3.370000,權息,0.891987
3474,華亞科,2006-06-29,31.45,30.34,1.103600,息,0.964706
3474,華亞科,2007-08-14,40.0,35.07,4.930000,權息,0.87675
3474,華亞科,2010-01-21,25.9,25.42,0.471250,權,0.981467
3697,F-晨星,2011-07-21,167.0,142.53,24.461558,權息,0.853473
3697,F-晨星,2012-07-09,204.0,195.0,9.000000,息,0.955882
3697,F-晨星,2013-07-16,241.0,235.0,6.000000,息,0.975104
