ticker,ex_date,factor,source
2350,2009-07-21,0.974089,FinMind TaiwanStockDividendResult
2350,2008-07-22,0.884091,FinMind TaiwanStockDividendResult
2350,2007-08-21,0.928169,FinMind TaiwanStockDividendResult
2350,2006-08-15,0.926364,FinMind TaiwanStockDividendResult
2350,2005-08-31,0.927897,FinMind TaiwanStockDividendResult
2350,2004-08-31,0.936296,FinMind TaiwanStockDividendResult
2403,2010-08-20,0.87188,FinMind TaiwanStockDividendResult
2403,2009-08-06,0.859963,FinMind TaiwanStockDividendResult
2403,2008-08-21,0.881285,FinMind TaiwanStockDividendResult
2403,2007-08-29,0.921333,FinMind TaiwanStockDividendResult
2403,2006-08-03,0.881818,FinMind TaiwanStockDividendResult
2403,2005-08-04,0.874038,FinMind TaiwanStockDividendResult
2403,2004-07-22,0.826172,FinMind TaiwanStockDividendResult
2403,2003-07-10,0.875271,FinMind TaiwanStockDividendResult
2411,2008-09-05,0.953725,FinMind TaiwanStockDividendResult
2411,2007-09-10,0.95122,FinMind TaiwanStockDividendResult
2411,2006-07-11,0.928793,FinMind TaiwanStockDividendResult
2411,2005-07-12,0.931549,FinMind TaiwanStockDividendResult
2411,2004-07-14,0.924024,FinMind TaiwanStockDividendResult
2411,2003-07-14,0.995017,FinMind TaiwanStockDividendResult
2411,2003-06-19,0.943114,FinMind TaiwanStockDividendResult
2456,2021-08-05,0.981308,FinMind TaiwanStockDividendResult
2456,2020-07-07,0.964263,FinMind TaiwanStockDividendResult
2456,2019-07-04,0.914728,FinMind TaiwanStockDividendResult
2456,2018-07-05,0.989197,FinMind TaiwanStockDividendResult
2456,2017-09-15,0.977701,FinMind TaiwanStockDividendResult
2456,2017-07-27,0.950062,FinMind TaiwanStockDividendResult
2456,2016-07-05,0.948387,FinMind TaiwanStockDividendResult
2456,2015-07-09,0.956672,FinMind TaiwanStockDividendResult
2456,2014-07-17,0.993432,FinMind TaiwanStockDividendResult
2456,2013-08-05,0.988095,FinMind TaiwanStockDividendResult
2456,2012-09-24,0.977778,FinMind TaiwanStockDividendResult
2456,2011-09-16,0.921569,FinMind TaiwanStockDividendResult
2456,2010-08-26,0.984351,FinMind TaiwanStockDividendResult
2456,2009-08-27,0.974249,FinMind TaiwanStockDividendResult
2456,2008-08-14,0.909655,FinMind TaiwanStockDividendResult
2456,2007-07-25,0.942331,FinMind TaiwanStockDividendResult
2456,2006-10-05,0.92,FinMind TaiwanStockDividendResult
2456,2005-08-17,0.913924,FinMind TaiwanStockDividendResult
2456,2004-08-17,0.927329,FinMind TaiwanStockDividendResult
2456,2003-09-16,0.99625,FinMind TaiwanStockDividendResult
2456,2003-07-30,0.955556,FinMind TaiwanStockDividendResult
3367,2011-07-13,0.959402,FinMind TaiwanStockDividendResult
3367,2010-07-14,0.953157,FinMind TaiwanStockDividendResult
3367,2009-07-15,0.867847,FinMind TaiwanStockDividendResult
3367,2008-07-10,0.821212,FinMind TaiwanStockDividendResult
3367,2007-07-18,0.900566,FinMind TaiwanStockDividendResult
3367,2006-07-18,0.730565,FinMind TaiwanStockDividendResult
3519,2012-03-28,0.971504,FinMind TaiwanStockDividendResult
3519,2011-09-07,0.859792,FinMind TaiwanStockDividendResult
3519,2010-07-28,0.944803,FinMind TaiwanStockDividendResult
3519,2009-09-21,0.829105,FinMind TaiwanStockDividendResult
3519,2008-10-07,0.995789,FinMind TaiwanStockDividendResult
3519,2008-06-25,0.882949,FinMind TaiwanStockDividendResult
8008,2012-08-06,0.914134,FinMind TaiwanStockDividendResult
8008,2011-08-05,0.927035,FinMind TaiwanStockDividendResult
8008,2010-08-10,0.954254,FinMind TaiwanStockDividendResult
8008,2009-08-13,0.958172,FinMind TaiwanStockDividendResult
8008,2008-08-07,0.922609,FinMind TaiwanStockDividendResult
8008,2007-10-15,0.960684,FinMind TaiwanStockDividendResult
8008,2006-08-17,0.899356,FinMind TaiwanStockDividendResult
8008,2005-08-17,0.859375,FinMind TaiwanStockDividendResult
